imdbID,title,year,mpaa,duration,genres,rating,metascore,summary,directors,stars,numvotes,gross
0206669,"Da obichash na inat",1986,,92,Drama,8.6,,"This is a film about the general collision between the generations. The film tells us the story of a 14 year old boy and his father, and the way they fight over all the problems.",Nikolai Volev,Velko Kynev++Ivan Velkov++Maria Statulova++Leda Taseva,470,
0090055,"Speriamo che sia femmina",1986,,120,Comedy++Drama,6.7,,"A critique of the role of the male in modern Italian society and has demonstrated the possibility of a form of 'female bonding' between women who live, by choice, in a world without men",Mario Monicelli,Liv Ullmann++Catherine Deneuve++Philippe Noiret++Giuliana de Sio,469,
0090564,"3:15",1986,R,86,Crime++Drama++Thriller,5.5,,"Violent crime is routine. Organized drug trade runs rampant in the face of powerless authority. And a vicious street gang holds dominion with a savage reign of terror. Welcome to Lincoln ... See full summary »",Larry Gross,Adam Baldwin++Deborah Foreman++Rene Auberjonois++Jesse Aragon,461,
0091895,"Saving Grace",1986,PG,112,Comedy++Drama,7.0,,"A young pope who feels he has lost touch with the people accidentally locks himself out of the Vatican and believes it is part of God's plan for him.",Robert M. Young,Tom Conti++Fernando Rey++Erland Josephson++Giancarlo Giannini,461,
0089084,"Az elvarázsolt dollár",1986,,90,Comedy++Crime,7.2,,"A rendszabályokra fittyet hányó Csöpit épp felfüggesztik, így a rejtélyes hamis dollárosok ügyében a kétbalkezes Kardosnak egyedül kellene boldogulnia... See full synopsis »",István Bujtor,István Bujtor++András Kern++István Avar++Zoltán Basilides,461,
0091065,"Flying",1986,R,90,Drama++Romance++Sport,5.5,,"Robin and her father have a car accident. Her father dies. Robin is badly injured and cannot compete in gymnasics tournaments anymore. Shattered dreams. She lives with her mother and bad ... See full summary »",Paul Lynch,Olivia d'Abo++Keanu Reeves++Rita Tushingham++Jessica Steen,460,
0087301,"Fu rong zhen",1986,,164,Drama++Romance,8.2,,"Love, humiliation and politics play out in a distant village of China during the cultural revolution.",Jin Xie,Wen Jiang++Linian Liu++Xiaoqing Liu++Ning Xu,460,
0091299,"Johnny Flash",1986,,77,Comedy,6.7,,"",Werner Nekes,Helge Schneider++Andreas Kunze++Heike-Melba Fendel++Marianne Traub,460,
0092770,"Il commissario Lo Gatto",1986,,91,Comedy,6.1,,"Police commissioner Lo Gatto is in charge of the local Italian police station within Vatican State. During an investigation, following the murder of a Vatican priest, he decides to question... See full summary »",Dino Risi,Lino Banfi++Maurizio Ferrini++Maurizio Micheli++Isabel Russinova,457,
0091524,"Miracles",1986,PG,87,Comedy,5.3,,"Roger and Jean learn the hard way that when you are meant to be together, nothing can keep you apart! Newly divorced couple keep running into one another (literally) and in the process, ... See full summary »",Jim Kouf,Tom Conti++Teri Garr++Paul Rodriguez++Christopher Lloyd,452,
0091730,"The Passage",1986,,100,Adventure++Drama++Fantasy,4.8,,"",René Manzor,Alain Delon++Christine Boisson++Jean-Luc Moreau++Alain Lalanne,449,
0089122,"Fair Game",1986,R,90,Action++Horror++Thriller,6.2,,"A young woman running a wildlife sanctuary in the Australian outback is in for trouble when she is confronted by three kangaroo hunters. Bored with killing kangaroos, they decide to kill ... See full summary »",Mario Andreacchio,Cassandra Delaney++Peter Ford++David Sandford++Garry Who,446,
0091658,"Nutcracker",1986,G,89,Family++Fantasy++Music,6.9,,"The colorful holiday classic is finally brought to the big screen, designed by famed children's story author and artist Maurice Sendak, and written for the first time to be as close as ... See full summary »",Carroll Ballard,Hugh Bigney++Vanessa Sharp++Patricia Barker++Wade Walthall,446,$0.78M
0091430,"The Longshot",1986,PG-13,89,Comedy,5.4,,"Four losers borrow money from gangsters to bet on a ""sure thing"", but lose. The gangsters go after them to get their money.",Paul Bartel,Tim Conway++Jack Weston++Harvey Korman++Brad Trumbull,444,$1.10M
0091613,"Native Son",1986,PG,111,Drama++Romance,5.9,,"In 1940s Chicago, a young black man takes a job as a chauffeur to a white family, which takes a turn for the worse when he accidentally kills the teenage daughter of the couple and then tries to cover it up.",Jerrold Freedman,Victor Love++Matt Dillon++Elizabeth McGovern++Geraldine Page,443,$1.30M
0255359,"Mazha Peyyunnu Maddalam Kottunnu",1986,,131,Comedy,7.3,,"Shambu and Shivan fall in love with girls of rich families who are at war with each other. Hilarious sequences pass by as they utilize the rivalry between the two families to achieve their goals.",Priyadarshan,Mohanlal++Sreenivasan++Mukesh++Maniyanpilla Raju,442,
0090582,"The Abomination",1986,,100,Horror,3.9,,"An old woman coughs up what she believes to be a tumor. While asleep, the thing crawls inside of her son and reproduces inside him, then causes him to go on a killing spree to feed it.",Bret McCormick,Scott Davis++Jude Johnson++Blue Thompson++Brad McCormick,439,
0091656,"Nuit d'ivresse",1986,,87,Comedy,5.8,,"Jacques Belin, presenter of a silly TV show, gets drunk after receiving an award and misses the train bringing his TV-soap-star fiancée. He meets up with Frède, just out of prison after a ... See full summary »",Bernard Nauer,Josiane Balasko++Thierry Lhermitte++Gérard Martin++Jean-Claude Dauphin,439,
0090767,"The Boss' Wife",1986,R,83,Comedy,4.9,,"Joel Keefer is a stockbroker trying to climb the corporate ladder. There's only one thing stopping him - his boss' beautiful and flirtatious wife.",Ziggy Steinberg,Daniel Stern++Arielle Dombasle++Fisher Stevens++Melanie Mayron,432,
0092118,"Truth or Dare?: A Critical Madness",1986,Not Rated,90,Horror,5.7,,"Mike Strauber catches his wife Sharon in bed with his best friend Jerry. He gets mad and takes off to embark on an adventure of murder and self-mutilation in demented games of truth or dare.",Tim Ritter,John Brace++Mary Fanaro++Bruce Gold++A.J. McLean,425,
0282889,"Rajavinte Makan",1986,,132,Action++Crime++Drama,7.6,,"The film follows underworld don Vincent Gomas (Mohanlal) and his rivalry against the Kerala Home minister N. Krishnadas (Ratheesh).",Thampi Kannanthanam,Mohanlal++Ambika++Ratheesh++Suresh Gopi,424,
